videoid,total,positive,neutral,negative
Yiq1xARAsW4,11,5,5,1
5jBsEDQOm6c,1,1,0,0
KF_EkiTVAfA,2,1,1,0
x0vIedGTLJ4,N/A,N/A,N/A,N/A
Z_J7Zeqye_k,8,6,2,0
K5Dfc63-C4M,2,1,1,0
